term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
ausgezeichnet,,excellent,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
aushöhlen,,hollow out,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Auskunft,,information,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausländer,,foreigner,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausländisch,,foreign,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Auslandspolitik,,foreign politics,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Auslaß,,outlet,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
auslassen,,omit,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausmaß,,extent,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
aufmerksam,,attentive,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausnahme,,exception,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
auspacken,,unpack,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausruf,,outcry,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausrutschen,,slip,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausrutscher,,slip,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausschalten,,turn off,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ausschuss,,committee,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausschweifend,,gay,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Aussehen,,looks,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Aussichtspunkt,,look-out,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Aussprache,,pronunciation,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
aussprechen,,pronounce,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausstehend,,outstanding,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ausstellen,,exhibit,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
